descriptor/look-up term inhalation,init exp inhalation,init exp dermal,init exp local dermal,reduction factor lev inhal,reduction factor LEV dermal,,Message supporting exposure prediction,,PROCs,PROC description
PROC1solidyeshighind,0.01,0.034,10,1,1,,,,PROC1,"1 - Use in closed process, no likelihood of exposure"
PROC1solidyesmediumind,0.01,0.034,10,1,1,,,,PROC2,"2 - Use in closed, continuous  process with occasional controlled exposure "
PROC1solidyeslowind,0.01,0.034,10,1,1,,,,PROC3,3 - Use in closed batch process (synthesis or formulation)
PROC1solidyeshighprof,0.1,0.034,10,1,1,,,,PROC4,4 - Use in batch and other process (synthesis) where opportunity for exposure arises 
PROC1solidyesmediumprof,0.01,0.034,10,1,1,,,,PROC5,5 -Mixing or blending in batch processes (multistage and/or significant contact)
PROC1solidyeslowprof,0.01,0.034,10,1,1,,,,PROC6,6 -Calendering operations
PROC1solidnohighind,0.01,0.034,10,1,1,,,,PROC7,7 -Industrial spraying
PROC1solidnomediumind,0.01,0.034,10,1,1,,,,PROC8a,8a -Transfer of chemicals from/to vessels/ large containers at non dedicated facilities
PROC1solidnolowind,0.01,0.034,10,1,1,,,,PROC8b,8b -Transfer of chemicals from/to vessels/ large containers at dedicated facilities
PROC1solidnohighprof,0.1,0.034,10,1,1,,,,PROC9,9 -Transfer of chemicals into small containers (dedicated filling line)
PROC1solidnomediumprof,0.01,0.034,10,1,1,,,,PROC10,10 - Roller application or brushing 
PROC1solidnolowprof,0.01,0.034,10,1,1,,,,PROC11,11- Non industrial spraying 
PROC1liquidyeshighind,0.01,0.034,10,1,1,,,,PROC12,12 - Use of blow agents for foam production
PROC1liquidyesmediumind,0.01,0.034,10,1,1,,,,PROC13,13 -Treatment of articles by dipping and pouring 
PROC1liquidyeslowind,0.01,0.034,10,1,1,,,,PROC14,"14 - Production of preparations or articles by tabletting, compression, extrusion, pelletisation"
PROC1liquidyesvery lowind,0.01,0.034,10,1,1,,,,PROC15,15 - Use of laboratory reagents in small scale laboratories
PROC1liquidyeshighprof,0.1,0.034,10,1,1,,,,PROC16,"16 - Using material as fuel sources, limited exposure to unburned product to be expected"
PROC1liquidyesmediumprof,0.01,0.034,10,1,1,,,,PROC17,17 - Lubrication at high energy conditions and in partly open process
PROC1liquidyeslowprof,0.01,0.034,10,1,1,,,,PROC18,18 - Greasing at high energy conditions
PROC1liquidyesvery lowprof,0.01,0.034,10,1,1,,,,PROC19,19 - Hand-mixing with intimate contact (only PPE available)
PROC1liquidnohighind,0.01,0.034,10,1,1,,,,PROC20,20 - Heat and pressure transfer fluids (closed systems) in dispersive use 
PROC1liquidnomediumind,0.01,0.034,10,1,1,,,,PROC21,21 - Low energy manipulation of substances in materials and/or articles
PROC1liquidnolowind,0.01,0.034,10,1,1,,,,PROC22,22 - Potentially closed operations with minerals at elevated temperature
PROC1liquidnovery lowind,0.01,0.034,10,1,1,,,,PROC23,23 - Open processing and transfer of minerals at elevated temperature
PROC1liquidnohighprof,0.1,0.034,10,1,1,,,,PROC24,24 - High (mechanical) energy work-up of substances bound in materials and/or articles 
PROC1liquidnomediumprof,0.01,0.034,10,1,1,,,,PROC25,25 - Hot work operations with metals
PROC1liquidnolowprof,0.01,0.034,10,1,1,,,,,
PROC1liquidnovery lowprof,0.01,0.034,10,1,1,,,,,
PROC2solidyeshighind,1,1.37,200,0.1,0.1,,,,,
PROC2solidyesmediumind,0.5,1.37,200,0.1,0.1,,,,,
PROC2solidyeslowind,0.01,1.37,200,0.1,0.1,,,,,
PROC2solidyeshighprof,5,1.37,200,0.2,0.2,,,,,
PROC2solidyesmediumprof,1,1.37,200,0.2,0.2,,,,,
PROC2solidyeslowprof,0.01,1.37,200,0.2,0.2,,,,,
PROC2solidnohighind,1,1.37,200,1,1,,,,,
PROC2solidnomediumind,0.5,1.37,200,1,1,,,,,
PROC2solidnolowind,0.01,1.37,200,1,1,,,,,
PROC2solidnohighprof,5,1.37,200,1,1,,,,,
PROC2solidnomediumprof,1,1.37,200,1,1,,,,,
PROC2solidnolowprof,0.01,1.37,200,1,1,,,,,
PROC2liquidyeshighind,25,1.37,200,0.1,0.1,,,,,
PROC2liquidyesmediumind,5,1.37,200,0.1,0.1,,,,,
PROC2liquidyeslowind,1,1.37,200,0.1,0.1,,,,,
PROC2liquidyesvery lowind,0.1,1.37,200,0.1,0.1,,,,,
PROC2liquidyeshighprof,50,1.37,200,0.2,0.2,,,,,
PROC2liquidyesmediumprof,20,1.37,200,0.2,0.2,,,,,
PROC2liquidyeslowprof,5,1.37,200,0.2,0.2,,,,,
PROC2liquidyesvery lowprof,0.1,1.37,200,0.2,0.2,,,,,
PROC2liquidnohighind,25,1.37,200,1,1,,,,,
PROC2liquidnomediumind,5,1.37,200,1,1,,,,,
PROC2liquidnolowind,1,1.37,200,1,1,,,,,
PROC2liquidnovery lowind,0.1,1.37,200,1,1,,,,,
PROC2liquidnohighprof,50,1.37,200,1,1,,,,,
PROC2liquidnomediumprof,20,1.37,200,1,1,,,,,
PROC2liquidnolowprof,5,1.37,200,1,1,,,,,
PROC2liquidnovery lowprof,0.1,1.37,200,1,1,,,,,
PROC3solidyeshighind,1,0.69,200,0.1,0.1,,,,,
PROC3solidyesmediumind,1,0.69,200,0.1,0.1,,,,,
PROC3solidyeslowind,0.1,0.69,200,0.1,0.1,,,,,
PROC3solidyeshighprof,5,0.69,200,0.2,0.2,,,,,
PROC3solidyesmediumprof,1,0.69,200,0.2,0.2,,,,,
PROC3solidyeslowprof,0.1,0.69,200,0.2,0.2,,,,,
PROC3solidnohighind,1,0.69,200,1,1,,,,,
PROC3solidnomediumind,1,0.69,200,1,1,,,,,
PROC3solidnolowind,0.1,0.69,200,1,1,,,,,
PROC3solidnohighprof,5,0.69,200,1,1,,,,,
PROC3solidnomediumprof,1,0.69,200,1,1,,,,,
PROC3solidnolowprof,0.1,0.69,200,1,1,,,,,
PROC3liquidyeshighind,50,0.69,200,0.1,0.1,,,,,
PROC3liquidyesmediumind,10,0.69,200,0.1,0.1,,,,,
PROC3liquidyeslowind,3,0.69,200,0.1,0.1,,,,,
PROC3liquidyesvery lowind,0.1,0.69,200,0.1,0.1,,,,,
PROC3liquidyeshighprof,100,0.69,200,0.2,0.2,,,,,
PROC3liquidyesmediumprof,25,0.69,200,0.2,0.2,,,,,
PROC3liquidyeslowprof,3,0.69,200,0.2,0.2,,,,,
PROC3liquidyesvery lowprof,0.1,0.69,200,0.2,0.2,,,,,
PROC3liquidnohighind,50,0.69,200,1,1,,,,,
PROC3liquidnomediumind,10,0.69,200,1,1,,,,,
PROC3liquidnolowind,3,0.69,200,1,1,,,,,
