CAS RN,Chemical name,Australian Inventory of Industrial Chemicals (Inventory) listing,Safe Work Australia HCIS,ECHA Annex VI CLP,International Agency for Research on Cancer,United States National Toxicology Program Report on Carcinogens,European Commission Endocrine Disruptor Strategy,United Nations Environment Programme EDC,Government of Canada Toxic Substances List,ECHA Annex XIV,EU Substances of Very High Concern,Chemical Substance Control Law Japan,European Commission Endocrine Disruptor List,Date entry was added to the list
50-00-0,Formaldehyde,Listed - public,Carcinogenicity 1B H350,Carc. 1B H350; Muta. 2 H341,Group 1,Known human carcinogen,-,-,Schedule 1,-,-,-,-,01-July-2020
50-06-6,Phenobarbital,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
50-07-7,Mitomycin C,-,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
50-18-0,Cyclophosphamide,-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
50-28-2,"Estradiol-17B (see Estrogens, Steroidal)",-,-,-,-,Known human carcinogen,-,-,-,-,-,-,-,24-September-2024
50-29-3,Dichlorodiphenyltrichloroethane,-,Carcinogenicity 2 H351; Aquatic (chronic) 1 H410,Carc. 2 H351; Aquatic Acute 1 H400; Aquatic Chronic H410,Group 2A,Reasonably anticipated to be a known human carcinogen,Category 1,-,Schedule 1,-,-,Class I,-,01-July-2020
50-32-8,Benzo[a]pyrene,-,Carcinogenicity 1B H350; Mutagenicity 1B H340; Reproductive toxicity 1B H360FD; Aquatic (chronic) 1 H410,Carc. 1B H350; Muta. 1B H340; Repr. 1B H361FD; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 1,Reasonably anticipated to be a known human carcinogen,-,-,-,-,Carcinogenic (Article 57a); Mutagenic (Article 57b); Toxic for reproduction (Article 57c); PBT (Article 57d); vPvB (Article 57e),-,-,01-July-2020
50-55-5,Reserpine,-,-,-,Group 3,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
51-03-6,piperonyl butoxide (ISO); 2-(2-butoxyethoxy)ethyl 6-propylpiperonyl ether,Listed - Public,-,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,24-September-2024
51-28-5,"2,4-dinitrophenol",Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
51-52-5,Propylthiouracil,-,-,-,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,24-September-2024
51-75-2,Nitrogen mustard,-,-,-,Group 2A,-,-,-,-,-,-,-,-,01-July-2020
51-78-5,"Phenol, 4-amino-, hydrochloride",Listed - Public,Mutagenicity 2 H341,-,-,-,-,-,-,-,-,-,-,24-September-2024
51-79-6,Ethyl carbamate (Urethane),Listed - public,Carcinogenicity 1B H350; Mutagenicity 1B H340,Carc. 1B H350,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
52-24-4,Thiotepa,-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
52-51-7,"bronopol (INN); 2-bromo-2-nitropropane-1,3-diol",Listed - public,Aquatic (acute) 1 H400,Aquatic Acute 1 H400,-,-,-,-,-,-,-,-,-,01-July-2020
52-68-6,"trichlorfon (ISO); dimethyl 2,2,2-trichloro-1-hydroxyethylphosphonate",Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 3,-,-,-,-,-,-,-,-,01-July-2020
53-16-7,"Estrone (see Estrogens, Steroidal)",-,-,-,-,Known human carcinogen,-,-,-,-,-,-,-,24-September-2024
53-70-3,"dibenz[a,h]anthracene",-,Carcinogenicity 1B H350; Aquatic (chronic) 1 H410,Carc. 1B H350; Aquatic Acute I H400; Aquatic Chronic 1 H410,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
53-96-3,2-Acetylaminofluorene,Listed - public,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
55-18-5,N-Nitrosodiethylamine,-,-,-,Group 2A,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
55-38-9,"fenthion (ISO); O,O-dimethyl-O-(4-methylthion-m-tolyl) phosphorothioate",-,Mutagenicity 2 H341; Aquatic (chronic) 1 H410,Muta. 2 H341; Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
55-55-0,bis(4-hydroxy-N-methylanilinium) sulphate,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
55-63-0,"glycerol trinitrate;  nitroglycerine; 1,2,3-Propanetriol, trinitrate",Listed - Public,Carcinogenicity 2 H351; Reproductive toxicity 2 H361,-,-,-,-,-,-,-,-,-,-,24-September-2024
55-68-5,phenylmercury nitrate,Listed - public,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
55-86-7,Nitrogen Mustard Hydrochloride,-,-,-,-,Reasonably anticipated to be a known human carcinogen,-,-,-,-,-,-,-,01-July-2020
55-98-1,"1,4-Butanediol Dimethanesulfonate",-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
56-04-2,Methylthiouracil,Listed - public,-,-,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
56-23-5,Carbon Tetrachloride,Listed - public,Carcinogenicity 2 H351,Carc. 2 H351,Group 2B,Reasonably anticipated to be a known human carcinogen,-,-,Schedule 1,-,-,Class II,-,01-July-2020
56-35-9,Bis(tributyltin) oxide (TBTO),Listed - public,-,-,-,-,Category 1,-,-,-,PBT (Article 57d),Class I,-,01-July-2020
56-38-2,"parathion (ISO); O,O-diethyl O-4-nitrophenyl phosphorothioate",-,Aquatic (chronic) 1 H410,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,Group 2B,-,-,-,-,-,-,-,-,01-July-2020
56-42-3,"2,2,3-trimethylpentane",-,-,Aquatic Acute 1 H400; Aquatic Chronic 1 H410,-,-,-,-,-,-,-,-,-,01-July-2020
56-53-1,Diethylstilbestrol,-,-,-,Group 1,Known human carcinogen,-,-,-,-,-,-,-,01-July-2020
